callsign,affiliation,date,weekday,ideology,national_politics,local_politics,sinclair2017,post,month
KHSL,CBS,2017-06-12,Mon,0.0872846108767597,0.14076474455882354,0.28030317176470587,0,0,Jun
KNVN,NBC,2017-06-12,Mon,0.08252830780187598,0.15788454641304348,0.26691420695652174,0,0,Jun
KPAX,CBS,2017-06-12,Mon,0.11561786814526034,0.14582061818181818,0.16679622681818182,0,0,Jun
KRBC,NBC,2017-06-12,Mon,0.06900431696391056,0.05400069283018868,0.1204958058490566,0,0,Jun
KRCR,ABC,2017-06-12,Mon,0.03477334323061998,0.10327851974999999,0.196165713625,1,0,Jun
KTAB,CBS,2017-06-12,Mon,0.1375299538473449,0.12778869846153845,0.16249803217948716,0,0,Jun
KTMF,ABC,2017-06-12,Mon,0.1682997665339302,0.08410231041666667,0.02783717,0,0,Jun
KTVM,NBC,2017-06-12,Mon,0.15474932241272515,0.22232218197530865,0.1032297,1,0,Jun
KTXS,ABC,2017-06-12,Mon,0.04535812652227403,0.05804805582089552,0.09031307552238806,1,0,Jun
KWYB,ABC,2017-06-12,Mon,0.16809283820114979,0.08191206458333333,0.04077266625,0,0,Jun
KXVA,FOX,2017-06-12,Mon,NA,0.01693996238095238,0.04004479285714286,0,0,Jun
WCTI,ABC,2017-06-12,Mon,0.09486787691159493,0.18257297916666665,0.09032731476190475,1,0,Jun
WCYB,NBC,2017-06-12,Mon,0.0701729208972307,0.21628194473118278,0.10394924849462367,1,0,Jun
WEMT,FOX,2017-06-12,Mon,0.0041228630771835365,0.15361713458333331,0.14936120875,1,0,Jun
WITN,NBC,2017-06-12,Mon,0.027617245507512763,0.1420724242307692,0.12300011602564102,0,0,Jun
WJHL,CBS,2017-06-12,Mon,0.07287029510181424,0.1413337954285714,0.1389245157142857,0,0,Jun
